track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts, streams ,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0," $107,642,809.00 ",12,56,13,0,13,125,A#,Minor,71,83,89,1,0,17,9
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0," $103,787,664.00 ",86,1,49,0,9,115,,Major,70,84,90,17,0,41,6
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26," $436,027,885.00 ",19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5
Sial,Mahalini,1,2023,1,23,134,4," $166,570,053.00 ",4,6,0,0,23,120,D,Major,56,20,43,89,0,12,4
WANDA,Quevedo,1,2023,1,20,888,22," $175,399,345.00 ",11,24,7,1,7,176,E,Minor,72,96,63,25,0,21,7
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14," $307,370,144.00 ",11,84,6,1,30,98,,Major,70,37,54,6,0,9,8
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2," $152,850,295.00 ",15,40,21,1,15,100,,Major,79,60,68,7,0,26,4
Flowers,Miley Cyrus,1,2023,1,12,12211,115," $1,316,855,716.00 ",300,215,745,58,1021,118,,Major,71,65,68,6,0,3,7
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6," $120,972,253.00 ",33,7,53,2,0,90,A#,Minor,68,83,71,3,0,31,8
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44," $721,975,598.00 ",119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5
OMG,NewJeans,1,2023,1,2,1783,27," $430,977,451.00 ",26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6," $158,950,978.00 ",8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5," $198,275,403.00 ",3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4," $93,587,665.00 ",6,1,21,0,1,83,C#,Major,53,40,36,73,0,11,33
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30," $304,118,600.00 ",21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4," $1,365,184.00 ",13,78,2,0,0,105,G,Major,82,62,74,10,0,33,7
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38," $585,695,368.00 ",47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7
Ditto,NewJeans,1,2022,12,19,1154,22," $397,582,059.00 ",28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22," $367,316,268.00 ",27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20," $231,332,117.00 ",41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11
LET GO,Central Cee,1,2022,12,15,2301,20," $298,063,749.00 ",49,23,110,0,8,146,D,Minor,74,51,45,86,0,21,38
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16," $223,582,566.00 ",20,8,30,2,0,95,C#,Major,77,72,87,17,0,7,5
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,15," $221,409,663.00 ",30,15,34,2,47,113,G,Minor,79,66,74,8,0,11,5
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4," $140,187,018.00 ",21,79,2,0,0,116,G#,Minor,77,65,80,6,0,15,4
Snooze,SZA,1,2022,12,9,2839,25," $399,686,758.00 ",58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13
Nobody Gets Me,SZA,1,2022,12,9,2536,6," $284,908,316.00 ",59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3
Low,SZA,1,2022,12,9,1911,0," $272,377,463.00 ",23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4," $267,789,608.00 ",30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3
Blind,SZA,1,2022,12,9,1484,0," $163,284,000.00 ",22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4
Love Language,SZA,1,2022,12,9,1127,0," $110,849,052.00 ",16,63,8,0,0,65,A,Minor,71,55,26,85,0,13,8
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0," $110,073,250.00 ",16,20,4,0,0,125,F#,Major,62,59,43,84,3,11,5
Seek & Destroy,SZA,1,2022,12,9,1007,0," $98,709,329.00 ",5,31,1,0,0,152,C#,Major,65,35,65,44,18,21,7
Special,SZA,1,2022,12,9,906,0," $88,092,256.00 ",6,21,3,0,0,76,,Major,60,19,20,78,0,11,5
SOS,SZA,1,2022,12,9,827,0," $73,981,293.00 ",6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23
F2F,SZA,1,2022,12,9,989,0," $67,540,165.00 ",5,9,1,0,0,90,D,Major,53,47,74,9,0,34,4
Gone Girl,SZA,1,2022,12,9,892,0," $65,362,788.00 ",3,17,2,0,0,150,F,Major,43,42,44,57,0,15,6
Notice Me,SZA,1,2022,12,9,819,0," $62,019,074.00 ",14,22,0,0,0,160,F,Major,72,78,68,28,0,11,12
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0," $57,144,458.00 ",6,11,3,0,0,81,G#,Major,47,33,68,24,0,22,38
Conceited,SZA,1,2022,12,9,899,0," $56,870,689.00 ",2,14,2,0,0,150,C#,Major,79,77,46,5,0,11,7
Far,SZA,1,2022,12,9,680,0," $51,641,685.00 ",2,15,1,0,0,116,D,Major,61,48,55,67,0,16,8
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26," $2,762.00 ",21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4
Kill Bill,SZA,1,2022,12,8,8109,77," $1,163,093,654.00 ",183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4," $155,653,938.00 ",13,87,17,0,46,78,A,Major,67,22,59,76,1,15,16
Zona De Perigo,Leo Santana,1,2022,12,8,531,4," $134,294,498.00 ",20,1,71,2,0,135,F,Major,81,97,77,75,0,35,3
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0," $94,005,786.00 ",7,29,3,0,0,150,A#,Minor,73,71,69,53,0,32,9
Too Late,SZA,1,2022,12,8,714,0," $49,262,961.00 ",0,9,2,0,0,128,B,Major,45,35,68,78,0,39,8
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88," $843,957,510.00 ",113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16," $401,036,314.00 ",41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21
People,Libianca,1,2022,12,2,3506,56," $373,199,958.00 ",105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36," $345,031,710.00 ",29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58," $286,400,165.00 ",17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46," $276,259,178.00 ",24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0," $195,516,622.00 ",12,22,12,0,2,88,G,Minor,49,24,66,19,0,18,29
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6," $179,659,294.00 ",7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4," $148,469,433.00 ",11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3
Wild Flower (with youjeen),RM,1,2022,12,2,353,2," $135,611,421.00 ",2,74,14,0,2,155,G#,Major,49,42,77,3,0,12,9
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0," $110,649,992.00 ",3,7,10,0,0,112,G#,Major,80,15,54,9,0,38,5
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0," $78,139,948.00 ",2,2,6,0,2,80,F,Minor,33,51,59,76,0,44,6
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10," $288,101,651.00 ",10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34," $538,115,192.00 ",47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19
Players,Coi Leray,1,2022,11,30,4096,6," $335,074,782.00 ",118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16
Boy's a liar,PinkPantheress,1,2022,11,30,1225,0," $156,338,624.00 ",27,0,28,13,0,133,F,Major,66,74,84,25,0,21,4
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0," $184,308,753.00 ",12,1,11,0,8,108,F#,Minor,44,38,77,9,0,9,20
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19," $463,564,958.00 ",12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20," $323,358,833.00 ",11,78,35,0,21,115,,Major,71,34,88,16,0,44,4
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26," $294,352,144.00 ",52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0," $139,836,056.00 ",11,101,0,0,48,94,A,Major,59,44,56,80,0,6,3
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18," $573,633,020.00 ",84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24
Punto G,Quevedo,1,2022,11,4,1985,35," $381,161,027.00 ",34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15
Die For You,Joji,1,2022,11,4,1703,0," $246,390,068.00 ",38,45,36,16,0,148,G#,Major,47,15,52,38,13,29,5
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2," $198,365,537.00 ",26,52,10,0,95,130,G,Major,77,20,70,1,0,16,5
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0," $191,333,656.00 ",24,8,17,0,1,122,E,Minor,75,45,63,6,0,35,12
On BS,"Drake, 21 Savage",2,2022,11,4,1338,0," $170,413,877.00 ",9,20,7,0,0,158,A,Major,84,33,36,2,0,39,59
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0," $154,863,153.00 ",22,7,15,0,0,131,G#,Minor,91,23,55,1,0,7,32
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0," $141,720,999.00 ",26,9,17,0,3,104,C#,Major,73,25,61,1,0,32,7
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2," $136,689,549.00 ",10,6,7,1,9,100,B,Minor,70,92,59,3,0,10,3
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0," $112,436,403.00 ",6,5,3,0,0,144,F,Major,93,62,61,0,0,12,20
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0," $106,249,219.00 ",3,8,5,0,0,120,D,Major,64,11,53,1,0,25,27
Alone,Burna Boy,1,2022,11,4,782,2," $96,007,391.00 ",27,18,32,1,0,90,E,Minor,61,32,67,15,0,11,5
BackOutsideBoyz,Drake,1,2022,11,4,1045,0," $93,367,537.00 ",8,5,2,0,0,142,F,Minor,85,40,43,4,0,39,32
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0," $71,095,708.00 ",8,1,7,0,0,114,D,Minor,62,25,44,51,33,14,3
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6," $263,453,310.00 ",26,69,73,2,6,158,C#,Major,65,72,95,31,0,92,5
My Mind & Me,Selena Gomez,1,2022,11,3,953,0," $91,473,363.00 ",61,13,37,1,0,144,A,Major,60,24,39,57,0,8,3
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0," $73,513,683.00 ",2,0,7,0,0,92,C#,Major,80,81,67,4,0,8,6
0.440972222,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26," $325,592,432.00 ",190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14," $303,216,294.00 ",32,3,9,0,0,94,G#,Major,73,65,79,5,2,11,6
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,0," $301,869,854.00 ",1,0,18,0,24,166,C#,Major,70,57,57,9,20,11,7
Shirt,SZA,1,2022,10,28,3469,0," $309,653,982.00 ",71,95,31,0,2,120,D#,Minor,82,55,45,15,3,9,10
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0," $297,328,960.00 ",129,31,212,1,41,177,A,Major,25,17,30,90,0,13,3
The Astronaut,Jin,1,2022,10,28,481,9," $203,436,468.00 ",10,100,15,1,27,125,F,Major,54,22,76,0,0,14,3
Malas Decisiones,Kenia OS,1,2022,10,26,542,2," $156,214,700.00 ",23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56," $999,748,277.00 ",242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5
Made You Look,Meghan Trainor,1,2022,10,21,3956,6," $502,574,952.00 ",142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8," $488,386,797.00 ",51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4," $433,356,509.00 ",19,29,21,0,0,140,,Major,64,18,37,72,0,12,7
Karma,Taylor Swift,1,2022,10,21,3818,23," $404,562,836.00 ",37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2," $348,647,203.00 ",8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6
Bejeweled,Taylor Swift,1,2022,10,21,2699,0," $328,207,708.00 ",39,35,22,2,0,164,G,Major,70,39,56,6,0,9,7
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0," $323,437,194.00 ",33,57,30,0,11,110,A,Major,66,19,32,69,0,12,4
Maroon,Taylor Swift,1,2022,10,21,2304,0," $317,726,339.00 ",12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6
Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0," $253,650,850.00 ",12,9,16,0,0,80,E,Minor,80,16,28,17,0,12,39
Question...?,Taylor Swift,1,2022,10,21,1608,0," $223,064,273.00 ",10,3,12,0,0,109,G,Major,75,11,50,20,0,30,17
Mastermind,Taylor Swift,1,2022,10,21,1936,0," $218,320,587.00 ",7,5,13,0,0,126,E,Major,66,12,35,55,0,9,14
Labyrinth,Taylor Swift,1,2022,10,21,1597,0," $187,339,835.00 ",6,3,15,0,0,110,,Major,48,15,31,80,22,12,4
Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0," $186,104,310.00 ",9,6,13,0,2,177,,Major,34,39,16,97,0,12,5
The Great War,Taylor Swift,1,2022,10,21,1274,0," $181,382,590.00 ",1,6,11,0,0,96,F,Major,57,55,74,22,0,8,4
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0," $177,503,916.00 ",4,5,8,0,0,158,G,Major,48,55,84,43,0,15,12
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0," $121,871,870.00 ",4,0,8,0,0,166,F#,Major,42,7,24,83,1,12,6
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,15," $236,857,112.00 ",19,59,18,5,52,98,B,Major,73,88,57,56,0,5,2
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0," $133,895,612.00 ",29,26,17,0,0,97,C#,Major,82,67,77,8,0,12,5
Monotonï¿½,"Ozuna, Shakira",2,2022,10,19,3645,15," $380,726,517.00 ",118,34,150,4,19,132,,Minor,87,82,70,42,0,21,5
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13," $457,184,829.00 ",72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12," $301,051,721.00 ",23,95,11,0,3,105,A#,Minor,88,82,80,8,0,11,8
Nxde,(G)I-DLE,1,2022,10,17,430,6," $170,709,584.00 ",14,116,9,0,11,136,E,Minor,73,65,91,4,0,48,18
California Breeze,Lil Baby,1,2022,10,14,991,0," $85,559,365.00 ",36,38,13,0,3,162,F,Minor,74,22,67,0,0,11,46
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0," $84,697,729.00 ",16,0,9,0,0,83,D#,Minor,65,24,53,6,0,51,4
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25," $532,336,353.00 ",116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11
Maan Meri Jaan,King,1,2022,10,12,288,6," $319,566,866.00 ",11,80,1,0,8,96,F#,Minor,70,40,51,35,0,10,4
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4," $210,038,833.00 ",38,101,26,0,0,102,C#,Major,58,29,94,0,0,9,11
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5," $225,093,344.00 ",78,65,328,1,198,130,D,Major,52,24,60,0,0,8,3
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38," $674,072,710.00 ",63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29
Gatita,Bellakath,1,2022,10,3,1054,0," $168,684,524.00 ",9,0,15,0,1,101,G,Major,90,76,81,15,24,33,6
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,13," $309,483,971.00 ",53,7,56,3,1,94,F,Minor,74,64,73,6,0,10,6
Celestial,Ed Sheeran,1,2022,9,29,1639,0," $176,474,912.00 ",86,14,80,0,37,123,D,Major,57,50,85,5,0,16,4
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6," $71,007,139.00 ",10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,0," $213,438,580.00 ",34,54,34,0,2,140,D,Minor,58,17,62,18,0,20,8
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0," $116,144,341.00 ",21,0,44,0,0,130,E,Minor,89,48,74,30,0,7,36
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42," $1,230,675,890.00 ",216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0," $332,506,354.00 ",113,17,208,0,192,142,D,Minor,64,31,72,15,0,9,5
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12," $304,079,786.00 ",54,32,66,2,0,107,,Major,87,20,83,0,4,31,9
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,7," $146,223,492.00 ",14,12,12,2,28,138,A#,Major,80,82,81,14,0,13,36
Shut Down,BLACKPINK,1,2022,9,16,1524,17," $482,175,240.00 ",53,120,62,0,2,110,,Major,82,67,69,0,0,18,4
Typa Girl,BLACKPINK,1,2022,9,16,452,10," $235,549,288.00 ",2,129,13,0,1,132,G,Major,92,53,62,7,0,63,10
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,4," $222,612,678.00 ",27,64,66,1,4,154,,Major,64,61,91,15,0,72,4
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7," $181,831,132.00 ",2,4,6,0,0,85,F,Minor,65,36,47,31,0,12,10
Prohibidox,Feid,1,2022,9,13,1473,12," $185,392,587.00 ",25,36,25,1,0,180,C#,Minor,65,52,80,5,0,6,25
Lady Mi Amor,Feid,1,2022,9,13,330,0," $53,987,404.00 ",3,0,2,0,0,93,D,Major,78,75,62,6,0,15,6
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0," $47,093,942.00 ",6,1,6,0,0,92,A#,Major,81,48,70,13,0,15,7
Forget Me,Lewis Capaldi,1,2022,9,9,2520,4," $239,411,309.00 ",93,95,84,9,202,102,C#,Minor,67,72,74,30,0,36,4
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,0," $174,006,928.00 ",14,1,50,0,0,87,G,Major,87,52,52,31,0,28,24
Vista Al Mar,Quevedo,1,2022,9,8,1769,34," $362,361,576.00 ",16,19,21,3,4,105,,Minor,76,49,56,80,12,10,13
Talk,YEAT,1,2022,9,2,920,0," $148,461,629.00 ",10,1,8,0,0,140,E,Minor,70,26,76,8,0,54,23
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80," $1,109,433,169.00 ",291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4
Talk that Talk,TWICE,1,2022,8,26,615,0," $189,476,119.00 ",14,77,15,1,2,120,D#,Minor,77,78,91,14,0,33,12
GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25,3328,13," $322,336,177.00 ",39,50,57,3,1,93,B,Minor,63,34,86,26,0,21,39
After LIKE,IVE,1,2022,8,22,767,12," $265,548,837.00 ",20,129,11,0,12,125,,Major,68,80,92,10,0,9,12
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38," $601,863,821.00 ",45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7
Pink Venom,BLACKPINK,1,2022,8,19,1963,16," $551,305,895.00 ",57,119,77,1,13,90,,Major,80,71,69,2,0,27,10
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0," $159,240,673.00 ",14,1,13,0,0,102,A,Major,84,43,75,5,0,6,8
Komang,Raim Laode,1,2022,8,16,158,4," $137,123,880.00 ",5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5," $295,152,154.00 ",15,79,4,2,0,136,,Major,77,71,75,33,1,13,4
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0," $428,685,680.00 ",104,17,76,9,2,133,D,Major,95,91,89,6,0,31,24
Limbo,Freddie Dredd,1,2022,8,11,688,0," $199,386,237.00 ",14,1,17,0,2,75,B,Minor,80,46,62,3,6,11,46
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10," $497,225,336.00 ",108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15," $284,785,823.00 ",72,97,58,0,154,82,G#,Major,40,39,64,21,0,7,7
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0," $219,196,651.00 ",53,2,33,0,0,120,,Major,77,94,87,2,0,23,12
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4," $179,061,440.00 ",23,10,18,0,0,172,G#,Minor,74,46,58,15,0,13,8
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0," $170,732,845.00 ",51,1,50,0,0,130,E,Minor,72,18,46,7,0,28,8
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35," $331,511,413.00 ",16,15,20,0,0,126,C#,Major,63,56,43,24,0,12,23
Hype Boy,NewJeans,1,2022,8,1,892,17," $363,472,647.00 ",20,119,12,2,7,100,E,Minor,59,78,94,27,0,29,23
Attention,NewJeans,1,2022,8,1,799,12," $264,717,480.00 ",14,141,9,0,1,105,A#,Minor,81,70,65,24,0,8,4
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10," $595,900,742.00 ",215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0," $171,788,484.00 ",39,47,36,0,0,122,A#,Minor,55,46,64,0,0,17,10
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33," $782,369,383.00 ",180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10
Lovezinho,Treyce,1,2022,7,28,242,0," $70,069,745.00 ",12,2,13,0,4,128,E,Minor,82,61,59,30,0,12,4
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30," $471,819,764.00 ",72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4," $287,278,853.00 ",10,43,3,1,0,99,G,Minor,79,64,59,28,0,11,14
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2," $209,106,362.00 ",18,10,13,1,1,118,B,Minor,82,75,85,33,1,11,4
TV,Billie Eilish,1,2022,7,21,3009,2," $338,564,981.00 ",68,89,65,0,25,141,E,Minor,41,9,25,84,1,14,4
Romantic Homicide,d4vd,1,2022,7,20,2335,23," $681,583,126.00 ",82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3
Doja,Central Cee,1,2022,7,20,4169,44," $482,257,456.00 ",57,44,183,1,11,140,F#,Major,91,97,57,38,0,40,29
GIVENCHY,Duki,1,2022,7,20,625,4," $185,236,961.00 ",13,18,12,0,0,103,G#,Major,61,38,62,14,0,23,40
Here With Me,d4vd,1,2022,7,17,3246,23," $635,412,045.00 ",94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,292,6," $366,599,607.00 ",26,98,4,0,0,94,,Major,58,44,57,57,0,10,3
golden hour,JVKE,1,2022,7,15,4511,36," $751,134,527.00 ",70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3
About Damn Time,Lizzo,1,2022,7,15,2332,2," $723,894,473.00 ",0,0,25,0,0,109,A#,Minor,84,72,74,10,0,34,7
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27," $342,897,938.00 ",69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4
